top - 22:41:29 up  4:30,  1 user,  load average: 0.74, 0.76, 0.78
Tasks: 238 total,   3 running, 233 sleeping,   0 stopped,   2 zombie
%Cpu(s):  7.3 us,  3.2 sy,  0.0 ni, 89.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7893.1 total,   1954.5 free,   1915.2 used,   4023.3 buff/cache
MiB Swap:   8172.0 total,   8172.0 free,      0.0 used.   5793.4 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   51 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   54 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kcompactd0
   57 root      39  19       0      0      0 S   0.0   0.0   0:00.55 khugepaged
   58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrit+
   60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poll+
   63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 dsm_wq
   65 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
   67 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
   68 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
  125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
  126 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-rese+
  127 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-dele+
  129 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
  130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
